DATE;MAC;RSSI;VENDOR;CATEGORIE
1.1.2018 3:32;8C:25:05:BE:92:E5;-84;Unknown;Smartphone
1.1.2018 6:40;00:10:30:E8:0D:B1;-83;EION Inc.;Handsfree
1.1.2018 7:00;F0:5A:09:E6:B3:4A;-68;Samsung Electronics Co.,Ltd;Smartphone
1.1.2018 7:27;00:26:7E:2B:A4:D4;-84;Parrot SA;Handsfree
1.1.2018 7:47;F8:5F:2A:F3:72:60;-80;Nokia Corporation;Smartphone
1.1.2018 9:40;C4:0B:CB:A0:90:48;-87;Unknown;Smartphone
2.1.2018 0:45;F8:D0:BD:B2:39:B4;-72;Samsung Electronics Co.,Ltd;Smartphone
2.1.2018 5:17;9C:8D:7C:9C:BC:DC;-89;Unknown;Handsfree
2.1.2018 5:30;9C:8D:7C:9C:BC:DC;-84;Unknown;Handsfree
2.1.2018 10:31;28:A1:83:AD:97:30;-79;Unknown;Handsfree
2.1.2018 13:02;FC:62:B9:AA:17:53;-89;ALPS ERECTRIC CO.,LTD;Handsfree
3.1.2018 2:15;00:21:3E:81:EA:B7;-85;TomTom;Handsfree
3.1.2018 3:35;E0:75:0A:44:4E:3C;-89;ALPS ERECTORIC CO.,LTD.;Handsfree
3.1.2018 4:16;7C:11:CB:8D:34:AB;-79;Unknown;Smartphone
3.1.2018 4:29;7C:11:CB:8D:34:AB;-78;Unknown;Smartphone
3.1.2018 5:43;84:BE:52:B4:63:99;-86;Unknown;Smartphone
3.1.2018 5:46;9C:3A:AF:10:7E:6F;-87;Samsung Electronics Co.,Ltd;Smartphone
3.1.2018 6:20;00:0E:9F:A9:7A:43;-77;TEMIC SDS GmbH;Handsfree
3.1.2018 6:20;C4:0B:CB:A0:90:48;-87;Unknown;Smartphone
3.1.2018 6:37;10:92:66:3C:9A:39;-76;Samsung Electronics Co.,Ltd;Smartphone
3.1.2018 6:50;90:03:B7:D5:B6:1E;-84;PARROT;Handsfree
3.1.2018 7:24;60:FE:1E:8C:F6:ED;-91;China Palms Telecom.Ltd;Smartphone
3.1.2018 8:41;84:BE:52:B4:63:99;-86;Unknown;Smartphone
3.1.2018 9:35;FC:62:B9:25:5E:9D;-86;ALPS ERECTRIC CO.,LTD;Handsfree
3.1.2018 10:08;94:51:03:11:DD:50;-89;Samsung Electronics;Smartphone
3.1.2018 10:42;00:19:B7:84:A6:BB;-87;Nokia Danmark A/S;Smartphone
3.1.2018 11:49;D4:61:2E:98:1F:5C;-83;Unknown;Smartphone
3.1.2018 12:43;00:26:7E:33:15:25;-85;Parrot SA;Handsfree
4.1.2018 2:59;00:23:3D:23:A6:87;-79;Novero holding B.V.;Handsfree
4.1.2018 5:10;00:26:7E:3A:09:3D;-80;Parrot SA;Handsfree
4.1.2018 5:34;00:0E:9F:A9:7A:43;-86;TEMIC SDS GmbH;Handsfree
4.1.2018 5:44;00:1E:A4:9C:32:10;-91;Nokia Danmark A/S;Handsfree
4.1.2018 6:17;90:03:B7:D5:B6:1E;-81;PARROT;Handsfree
4.1.2018 6:27;70:8A:09:BD:C4:00;-76;Unknown;Smartphone
4.1.2018 8:01;30:21:CD:55:41:C8;-89;Unknown;Handsfree
4.1.2018 8:05;00:23:3D:36:CD:33;-80;Novero holding B.V.;Handsfree
4.1.2018 8:08;00:26:7E:2B:A4:D4;-85;Parrot SA;Handsfree
4.1.2018 8:39;00:E3:B2:E8:EC:17;-84;Samsung Electronics Co.,Ltd;Smartphone
4.1.2018 9:13;48:3C:0C:B2:B9:45;-88;Unknown;Smartphone
4.1.2018 10:06;38:F2:3E:BB:B9:81;-89;Unknown;Smartphone
4.1.2018 10:37;74:5E:1C:C6:7D:F0;-88;PIONEER CORPORATION;Handsfree
4.1.2018 11:30;84:BE:52:24:FD:23;-91;Unknown;Smartphone
4.1.2018 11:50;54:B1:21:8A:14:72;-87;Unknown;Smartphone
4.1.2018 12:37;94:65:2D:A5:4C:6F;-80;Unknown;Smartphone
4.1.2018 13:28;48:3C:0C:B2:B9:45;-83;Unknown;Smartphone
4.1.2018 13:28;74:5E:1C:53:58:6B;-87;PIONEER CORPORATION;Handsfree
4.1.2018 13:28;90:03:B7:25:E2:EC;-84;PARROT;Handsfree
4.1.2018 19:34;D4:A1:48:D9:B5:2D;-89;Unknown;Smartphone
5.1.2018 2:08;50:F5:20:FC:87:24;-70;Samsung Electronics Co.,Ltd;Smartphone
5.1.2018 3:15;00:15:88:01:6E:E2;-89;Salutica Allied Solutions Sdn Bhd;Handsfree
5.1.2018 3:59;F0:43:47:CA:01:99;-88;Unknown;Smartphone
5.1.2018 4:46;00:15:88:01:6E:E2;-88;Salutica Allied Solutions Sdn Bhd;Handsfree
5.1.2018 5:16;00:02:C7:F7:66:BC;-84;ALPS ELECTRIC Co., Ltd.;Handsfree
5.1.2018 5:40;A0:14:3D:C4:07:5A;-86;PARROT SA;Handsfree
5.1.2018 5:43;E0:2C:B2:2C:B3:48;-87;Lenovo Mobile Communication (Wuhan) Company Limited;Smartphone
